;index;having_IPhaving_IP_Address;URLURL_Length;Shortining_Service;having_At_Symbol;double_slash_redirecting;Prefix_Suffix;having_Sub_Domain;HTTPS_token
1;1;1;1;1;1;1;1;1;1
2;1;1;1;1;1;1;1;1;1
3;1;1;1;1;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1
5;1;1;1;1;1;1;1;1;1
6;1;1;1;1;1;1;1;1;1
7;1;1;1;1;1;1;1;1;1
8;1;1;1;1;1;1;1;-1;1
9;1;1;1;1;1;1;1;1;1
10;1;1;1;1;1;1;1;1;1
11;1;1;1;1;1;1;1;-1;1
12;1;1;1;1;1;1;1;1;1
13;1;1;1;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1
15;1;1;1;1;1;1;1;1;1
16;1;1;1;1;1;1;1;1;1
17;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;1;1;1;1
19;1;1;1;1;1;1;1;1;1
20;1;1;1;1;1;1;1;-1;1
21;1;1;1;1;1;1;1;1;1
22;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;-1;1
25;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;-1;1
27;1;1;1;1;1;1;1;1;1
28;1;1;1;1;1;1;1;1;1
29;1;1;1;1;1;1;1;1;1
30;1;1;1;1;1;1;1;-1;1
31;1;1;1;1;1;1;1;1;1
32;1;1;1;1;1;1;1;1;1
33;0;-1;1;1;1;-1;-1;-1;-1
34;0;1;1;1;1;1;-1;0;-1
35;0;1;0;1;1;1;-1;-1;-1
36;0;1;0;1;1;1;-1;-1;-1
37;0;1;0;-1;1;1;-1;1;1
38;0;-1;0;-1;1;-1;-1;1;-1
39;0;1;0;-1;1;1;-1;-1;1
40;0;1;0;1;1;1;-1;-1;-1
41;0;1;0;-1;1;1;-1;1;-1
42;0;1;1;-1;1;1;-1;-1;1
43;0;1;1;1;1;1;-1;0;1
44;0;1;1;-1;1;1;-1;1;1
45;0;-1;1;-1;1;-1;-1;0;-1
46;0;1;1;-1;1;1;-1;0;1
47;0;1;1;-1;1;1;1;-1;-1
48;0;1;-1;-1;-1;1;-1;0;1
49;0;1;-1;-1;1;1;-1;1;-1
50;0;1;-1;1;1;1;-1;-1;1
51;0;1;1;1;1;1;-1;-1;-1
52;0;1;1;1;1;1;-1;-1;1
